a_id_dS3,1494529190.2097094,4,q_id_zU9,aXRzIGEgdGhvdWdoIHRvcGljIEkgZG9uJ3QgdGhpbmsgeW91IGFyZSBvbGQgZW5vdWdoIHRvIGRpc2N1c3MgaXQuLg==,
a_id_mW9,1494529213.7004743,3,q_id_zU9,TE9MIHdoYXQgaXMgdGhpcyBxdWVzdGlvbj8=,YV9pZF9tVzlfdWdsdWsuanBn
a_id_wL2,1494529607.9221146,-2,q_id_yU5,SGUgd2lsbCBtYWtlIEFtZXJpY2EgZ3JlYXQgYWdhaW4sIHN0b3AgYXNraW5nIHRoZXNlIHN0dXBpZCBxdWVzdGlvbnMhIQ==,
a_id_mM7,1494529790.0590494,-1,q_id_sU3,TGlzdGVuIEplc3VzIGFuZCBkb24ndCBkbyB0aGF0IGJveSEh,
a_id_xU2,1494529830.054263,1,q_id_sU3,V3JpdGUgbWUgb24gZmIgSSBoYXZlIGEgbGlsIHBvdDsp,
a_id_qO4,1494529862.6969547,1,q_id_sU3,RGVsZXRlIHRoZSBxdWVzdGlvbiBkdW1iIGtpZCwgdGhlIHBvbGljZSBjYW4gY2F0Y2ggaXQ=,
a_id_lY4,1494529945.8093586,4,q_id_yZ5,U2VlIEkgY291bGQgZmluZCB0aGVzZSBtb25zdGVycywgZG8gbm90IGdvIG5lYXIgdG8gdGhhdCBjb3VudHJ5,YV9pZF9sWTRfYnVzby5qcGc=
a_id_gT3,1494530050.3606436,0,q_id_uL5,WW91IGNhbiBjaGVjayBpdCBvbiBnb29nbGU=,
a_id_zO2,1494530072.7442253,0,q_id_uL5,b3BlbiBhIGNvbW1hbmQgcHJvbXB0IGFuZCB0eXBlIGlwY29uZmln,
a_id_mJ9,1494530190.7872467,2,q_id_rM3,U3VycHJpc2UgaGltIHdpdGggYSB2YWNhdGlvbiwgaGUgd2lsbCBmb3JnaXZlIHlvdSBmb3Igc3VyZTop,YV9pZF9tSjlfY2F0X3ZhYy5qcGc=
a_id_xB2,1494530236.6158922,0,q_id_mR0,SXQgZGVwZW5kcy4uIHdoYXQgZGlkIHlvdSBkbz8=,
a_id_qY6,1494530261.9556465,0,q_id_mR0,WW91IHN1Y2sgaGFoYSwgZHVtYiBraWQ=,
a_id_fE4,1494530284.0865922,0,q_id_mR0,WW91IGhhdmUgdG8gdGFrZSByZXNwb25zaWJpbGl0eSBmb3IgdGhlIHVuYm9ybiBjaGlsZCEhISE=,
a_id_pO5,1494530352.6300108,1,q_id_wU7,VGhlIGh1bWFuIGR1bWJuZXNzICwgb2ggZ29kIHBsZWFzZSBzdG9w,
a_id_dC7,1494530377.2966018,-1,q_id_wU7,SSBhZ3JlZSB3aXRoIHlvdSBpdCBpcyBzbyBsb2dpY2FsIQ==,
a_id_gF6,1494530405.992229,0,q_id_hX1,SSBjYWxsZWQgdGhlIGNvcHMgeW91IHNpY2sgYmFzdGFyZCwgdGhleSdyZSBvbiB0aGUgd2F5,
a_id_dM4,1494530413.886658,0,q_id_hX1,Uk9GTCB5b3UgYXJlIHNhZmUgYnJv,
a_id_hD4,1494530482.72146,0,q_id_gO6,eWVwIGhlIGlzIGEgc2hlLCBzb3JyeSBicm8uLg==,
a_id_cI5,1494530550.9311426,0,q_id_gO6,R2FuZGFsZiB0aGUgZ3JleSBpcyBhIHdpc2Ugd2l6YXJkLiBEb250IHlvdSBkYXJlIHRvIG1ha2UgZnVuIG9mIGhpbSEhIQ==,YV9pZF9jSTVfZ2FuZGkuZ2lm
a_id_lD5,1494530597.9461114,0,q_id_eK2,SSBiZWxpZXZlIEkgc2F3IGhpbSBpbiB0aGUgZG93bnRvd24geWVzdGVyZGF5Lg==,YV9pZF9sRDVfbWFwX2JhYm9vbi5qcGc=
a_id_lL5,1494530630.6285064,0,q_id_eK2,QmUgY2FyZWZ1bCEgVGhleSBjYW4gYmUgZGFuZ2Vyb3VzIQ==,YV9pZF9sTDVfQkFCT09OX1RFRVRILmpwZw==
a_id_cS0,1494530730.5008478,0,q_id_yZ5,V2hhdCBhIGJ1bGxzaGl0ISBJbiB0aGUgMjFzdCBjZW50dXJ5IHRoZXJlIGlzIG5vIHN1Y2ggdGhpbmdzIGFzIHNhdGFuaXN0cw==,
a_id_zV4,1494551523.9850988,0,q_id_uL5,YWFmZHNmYXNkZmRhc2dhc2RmYWRzZmFkc2Y=,
a_id_qM0,1494551546.9936292,0,q_id_uL5,YXNkZmFkc2Zhc2RmYWRzZmFzZGZhc2Q=,
a_id_yS3,1494557090.7075627,3,q_id_aP3,YXNkZmFkc2Zhc2RmYWRzZmFzZGZhc2Q=,
a_id_kH0,1494574076.1156547,3,q_id_sU3,U3VyZSB0aGluZyBkdWRlLCBqdXN0IGdpdmUgbWUgeW91ZSBjcmVkaXQgY2FyZCBudW1iZXIgYW5kIHBpbg==,
a_id_mY1,1494574225.4483638,0,q_id_yZ5,VGhlcmUgYXJlIHNvbWUgYnV0IGRvbid0IG1vdmUgaGVyZSBiZWNhdXNlIHdlIGRvbid0IGxpa2UgaW1taWdyYW50cw==,
